특허명 TEXT,IPC넘버,출원인  NGRAM,출원번호 NUMERIC,출원날짜DATETIME,등록번호 NUMERIC,등록일자DATETIME,공개번호 NUMERIC,공개일자 DATETIME,대리인 NGRAM,발명가 KEYWORD,설명, STORED,,,,
스프레이 분사를 이용한 슈퍼커패시터용 3차원 그래핀 전극의 제조방법(PREPARATION METHOD OF 3D GRAPHENE ELECTRODE FOR SUPERCAPACITOR USING SPRAY DISCHARGE),"['H01G 11/86 H01G 11/32  .... ', 'H01G 11/86|H01G 11/32|H01G 11/46|B05D 1/12|B05D 3/02']",인천대학교 산학협력단 에이치씨테크(주),1020160138184, 2016.10.24,1018463630000, 2018.04.02, , ,차준용,안호선 김지훈 이길원 최홍 심규현,"본 발명은 스프레이 분사를 이용한 슈퍼커패시터용 3차원 그래핀 전극의 제조방법에 관한 것으로, 더욱 상세하게는 스프레이를 이용하여 환원된 산화그래핀(RGO) 용액을 가열된 타겟 표면에 직접 액적 분사하여 과열증발시킴으로써, 추가 공정 없는 간단한 방식으로 슈퍼커패시터 전극 소재용 3차원 그래핀 구조체를 대량생산할 수 있는 효율적인 방법에 관한 것이다. 본 발명에 따라 제조된 슈퍼커패시터용 3차원 그래핀 전극은 전기전도도 및 기계적 강성이 우수한 그래핀이 다공성의 3차원 구조체로 형성되어 그 비표면적이 극대화되는바, 이를 채용한 슈퍼커패시터의 정전용량 및 사이클 안정성을 향상시킬 수 있다.",,,,,
경쟁 방식 데이터 전송을 스케줄링하는 방법 및 장치(AN APPARATUS FOR SCHEDULING CONTENTION-BASED DATA TRANSFER AND MEHTOD THEREOF),"['H04W 72/12 H04W 74/08  .... ', 'H04W 72/12|H04W 74/08|H04L 1/16']",성균관대학교산학협력단,1020170059992, 2017.05.15,1019580860000, 2019.03.07,1020180125286, 2018.11.23,인비전 특허법인,이태진 조영일 안지형,"엑세스 포인트 (Access Point, AP) 및 복수의 단말을 포함하는 네트워크 시스템의 경쟁 방식 데이터 전송을 스케줄링하는 방법이 제공된다. 방법은, 엑세스 포인트에 접속한 단말의 수를 기반으로 경쟁 윈도우 (Contention Window, CW) 크기를 결정하는 단계와, 경쟁 윈도우 크기에 관한 정보를 복수의 단말 중 어느 하나로 전송하는 단계를 포함할 수 있다. 따라서, 네트워크에 접속한 단말 수에 따라 단말들 스스로 충돌없는 데이터 전송 스케줄링을 자율적으로 할 수 있도록 하여 각 단말들의 전송 지연을 일정하게 유지 및 에너지 상태에 따른 유동적인 데이터 전송을 수행하는 것이 가능하다.",,,,,
"크리니펠리스 라이조마티콜라 IUM00035 균주, 상기 균주의 배양액, 상기 배양액의 분획물 또는 상기 배양액으로부터 분리한 화합물을 유효성분으로 함유하는 식물병 방제용 조성물 및 상기 조성물을 사용한 식물병 방제 방법(Composition for controlling plant diseases including Crinipellis rhizomaticola IUM00035 strain, culture medium thereof, fraction of thereof or a compound isolated therefrom as an active ingredient and method of controlling plant diseases using the same)","['A01N 63/10 A01N 43/20  .... ', 'A01N 63/10|A01N 43/20|A01C 1/06|A01G 7/06']",한국화학연구원 인천대학교 산학협력단,1020170146192, 2017.11.03,1020025380000, 2019.07.16,1020190050619, 2019.05.13,이원희,김헌 오미라 한재우 최경자 장경수 최용호 최재혁,"크리니펠리스 라이조마티콜라 IUM00035 균주, 상기 균주의 배양액, 상기 배양액의 분획물 또는 상기 배양액으로부터 분리한 화합물을 유효성분으로 함유하는 식물병 방제용 조성물 및 상기 조성물을 사용한 식물병 방제 방법에 관한 것으로, 상기 식물병 방제용 조성물은 식물에서 검은무늬병, 잿빛곰팡이병, 탄저병, 시들음병, 도열병, 역병, 잎집무늬마름병, 붉은녹병, 흰가루병 등을 유발하는 병원균에 대한 항균효과가 우수하므로, 식물병 방제용 조성물로 유용하게 사용될 수 있다.",,,,,
실시간 통합 실내 공기질 알림지수 결정 방법 및 장치(METHOD AND APPARATUS FOR DETERMINING REAL-TIME COMPREHENSIVE INDOOR AIR QUALITY INDEX),"['G06Q 50/26 G01N 1/22  .... ', 'G06Q 50/26|G01N 1/22|G01N 33/00|G06Q 50/10']",인천대학교 산학협력단,1020160051112, 2016.04.26,1017710530000, 2017.08.18, , ,특허법인충정,황광일 김민식,"본 발명의 일 실시예에 의한 실시간 통합 실내 공기질 알림지수 결정 방법은, (a) 적어도 하나의 센서를 이용하여 실내 공기 오염 물질을 센싱하는 단계; (b) 상기 적어도 하나의 센서 각각에서 출력되는 데이터에 지수 이동 평균법을 적용하여 이상치를 제거하는 단계; (c) 상기 이상치가 제거된 데이터에 기반하여, 각 오염 물질별 실내 공기질 지수를 산출하는 단계; 및 (d) 상기 각 오염 물질별 실내 공기질 지수에 기반하여, 실내 공기질 상태를 나타내는 실시간 통합 실내 공기질 알림지수를 결정하는 단계를 포함하여, 실시간으로 실내 공기질을 나타내는데 적합한 알림지수를 제공할 수 있고, 처리시 오버헤드가 최소화되며, 메모리를 적게 사용하고, 이상치 또는 누락치를 처리할 수 있으며, 지수를 대표하는 통합 오염 물질을 지수 계산에 반영하고, 실시간 실내 공기질 변화에 대해 신속하게 반응할 수 있으며, 저가의 소형 실내 공기질 모니터링 시스템에 적용될 수 있다.",,,,,
"수면유도 기능을 가지는 패 추출물을 포함하는 화장료 조성물 및 이를 이용한 화장품(COSMETIC COMPOSITION COMPRISING ISHIGE OKAMURAE EXTRACT WITH SLEEPING INDUCTION FUNCTION, AND COSMETICS USING THE SAME)","['A61K 36/03 A61P 25/20  .... ', 'A61K 36/03|A61P 25/20|A61K 8/9711|A23L 33/10|A61Q 19/00']",인천대학교 산학협력단 공정애,1020160180951, 2016.12.28,1019085490000, 2018.10.10,1020180076607, 2018.07.06,차준용,이승호 공정애,"본 발명은 패(Ishige okamurae) 추출물을 유효성분으로 포함하는 수면유도 기능성 조성물에 관한 것으로, 더욱 상세하게는 해조류 중 한 가지인 패(Ishige okamurae)의 추출물이 멜라토닌 및 멜라토닌 수용체(MT1)의 발현을 증가시켜 수면을 유도하는 효능이 있음을 최초로 확인하고, 이러한 패 추출물을 수면유도용 기능성 화장료 조성물, 식품 조성물 또는 약제학적 조성물의 유효성분으로 사용한 용도에 관한 것이다.",,,,,
전기 요법용 그래핀 바이오 소자(GRAPHENE BIO-DEVICE FOR ELECTROTHERAPY),"['A61N 1/05 A61N 1/36  .... ', 'A61N 1/05|A61N 1/36|A61B 5/00|A61N 1/06|H01B 5/14|H01B 1/04']",주식회사 지브레인,1020180007881, 2018.01.22,, ,1020190089423, 2019.07.31,차준용,양성구 안종현 김제중 이원호 강민표,"본 연구에서 구현한 그래핀 기반의 바이오 소자는 적은 노이즈로 피질전도를 측정하고 효율적으로 전기 자극을 가하여 발작 신호를 성공적으로 완화하였다. 이러한 성능을 구현하기 위해 매우 얇은 초박막 형태의 소자를 구현하였으며, 기존 금 전극보다 성능이 우수한 D4L-Gr을 이용하였다. 이 연구에서 시행한 유연하고 얇은 그래핀 전극 어레이를 이용한 간질을 위한 전기요법 결과는 간질뿐 아니라 파킨슨 병, 조현병, 이명과 우울증 등 다양한 뇌 관련 질환 치료의 가능성을 열어주었다.",,,,,
장애물 감지를 통해 충돌 방지가 가능한 스마트 유모차 및 그 동작 방법(SMART STROLLER CAPABLE OF PREVENTING COLLISIONS THROUGH OBSTACLE DETECTION AND OPERATING METHOD THEREOF),"['B62B 9/00 G01S 15/08  .... ', 'B62B 9/00|G01S 15/08|G01S 15/93|G08B 6/00|G08B 21/18']",인천대학교 산학협력단,1020190073641, 2019.06.20,1021125850000, 2020.05.13, , ,김효성,송준영 박희재 김현진 박형철 전요한 윤덕용,"장애물 감지를 통해 충돌 방지가 가능한 스마트 유모차 및 그 동작 방법이 개시된다. 본 발명은 유모차의 전방에 부착된 초음파 센서들을 통해 상기 유모차와 정면 사이의 이격 거리를 측정한 후, 상기 이격 거리를 기초로 상기 스마트 유모차에서 장애물이 존재하고 있는지 여부를 판단한 후, 상기 장애물이 존재하고 있는 것으로 판단된 경우, 상기 유모차의 핸들에 주의가 필요한 상태임을 알리기 위한 진동을 발생시킴으로써, 전방 장애물 감지를 통해 유모차가 충돌되는 것을 방지할 수 있다.",,,,,
LBS 기반 오브젝트의 로케이션 업데이트 서비스 제공 방법 및 장치(METHOD AND APPARATUS FOR PROVIDING UPDATE SERVICE LOCATION OF OBJECT BASED LOCATION BASED SERVICE),"['H04W 64/00 H04W 4/02  .... ', 'H04W 64/00|H04W 4/02|G01S 19/01']",인천대학교 산학협력단,1020150033210, 2015.03.10,1016355990000, 2016.06.27, , ,특허법인충정,채진석 김지범 박희민,"본 발명은 GPS와 연계되어 LBS 기반 지도를 제공하는 지도 서비스 이미지에서 오브젝트의 이동경로 탐색을 위한 로케이션 영역을 획득하는 과정과, 코너 포인트(corner point)를 검출하기 위한 알고리즘을 이용하여 상기 획득된 로케이션 영역으로부터 특징점을 검출하는 과정과, 상기 획득된 로케이션 영역에 대응하는 영상에서 기설정된 단위시간별 오브젝트의 이동경로를 기준으로 기설정된 픽셀 샘플링 패턴 기반 다수의 샘플 포인트를 샘플링하여 검출된 특징점에 대응하는 샘플 포인트를 검출하는 과정과, 상기 검출된 샘플 포인트에서 직선경로별 중복 샘플 포인트를 제거하여 LBS 프로토콜 기반 오브젝트 위치정보 서비스를 수행하는 과정을 포함함을 특징으로 한다.",,,,,
포토 디텍터 및 그 제조 방법(Photodetector and manufacturing method thereof),"['H01L 31/109 H01L 31/0224  .... ', 'H01L 31/109|H01L 31/0224|H01L 31/0352|H01L 31/0392|H01L 31/18']",인천대학교 산학협력단,1020180138226, 2018.11.12,, ,1020200054665, 2020.05.20,특허법인가산,김준동 김홍식,"포토 디텍터 및 그 제조 방법을 제공한다. 상기 포토 디텍터는 투명 기판, 상기 투명 기판 상의 투명 전도체막, 상기 투명 전도체막 상의 티타늄 산화막, 상기 티타늄 산화막 상에서 상기 티타늄 산호막과 이종 접합을 이루는 구리 산화막 및 상기 구리 산화막 상에서 임베디드(embedded)되어 쇼트키 컨택을 형성하는 나노 와이어 네트워크를 포함한다.",,,,,
감성 필터를 이용한 토픽 모델링 시스템 및 방법(System and Method for Modeling Topic Using Affective Filter),['G06F 40/20'],인천대학교 산학협력단,1020180076236, 2018.07.02,1020871850000, 2020.03.04,1020200003446, 2020.01.10,특허법인충정,박재현,"감성 필터를 이용한 토픽 모델링 시스템 및 방법은 잠재 디리클레 할당(Latent Dirichlet Allocation) 알고리즘을 적용하여 문서에 대해 각 토픽에 대한 단어 집합을 검출하고, 상기 검출된 단어 집합을 감정 단어 데이터베이스부에 저장된 감정 단어와 매칭하여 감정적 의미를 담고 있는 감정 단어를 추출하며, 상기 추출한 감정 단어 중에서 감성적으로 어필할 수 있는 단어에 볼트체로 표시하여 문서의 신뢰성을 높이는 효과가 있다.",,,,,
